fireId,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,id,start_time,geometry
23,33.12098,68.72946,296.27,0.43,0.38,1/1/2020,731,N,VIIRS,n,1,277.01,0.75,N,0,24,1/1/2020 7:42,POINT (-83.847015 30.693972)
24,1.17249,-52.08166,322.04,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,274.7,1.65,N,0,25,1/1/2020 7:42,POINT (-83.61251800000001 32.927727)
25,30.363194,-85.133362,310.67,0.4,0.37,1/1/2020,731,N,VIIRS,n,1,275.59,1.64,N,0,26,1/1/2020 7:42,POINT (-85.13336200000001 30.363194)
26,31.589054,-84.448097,309.38,0.4,0.37,1/1/2020,731,N,VIIRS,n,1,275.24,1.61,N,0,27,1/1/2020 7:42,POINT (-84.448097 31.589054)
27,31.925428,-84.627228,299.07,0.4,0.37,1/1/2020,731,N,VIIRS,n,1,274.87,0.77,N,0,28,1/1/2020 7:42,POINT (-84.627228 31.925428)
28,31.592415,-84.447304,317.52,0.4,0.37,1/1/2020,731,N,VIIRS,n,1,276.96,1.84,N,0,29,1/1/2020 7:42,POINT (-84.447304 31.592415)
29,-27.27737,-64.26499,309.65,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,274.49,1.07,N,0,30,1/1/2020 7:42,POINT (-83.61335799999999 32.924332)
30,43.52159,-80.49303,300.21,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,275.66,1.35,N,0,31,1/1/2020 7:42,POINT (-84.051636 32.420277)
31,-35.94108,144.95117,304.47,0.4,0.37,1/1/2020,731,N,VIIRS,n,1,277.13,0.79,N,0,32,1/1/2020 7:42,POINT (-84.58757800000001 31.665272)
32,17.8658,82.68446,312.18,0.71,0.75,1/1/2020,731,N,VIIRS,n,1,270.86,3.41,N,0,33,1/1/2020 7:42,POINT (-101.708656 32.462986)
33,-47.78953,-73.76525,295.38,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,275.28,0.51,N,0,34,1/1/2020 7:42,POINT (-84.03366899999999 32.42067)
34,52.84497,-123.23979,300.76,0.4,0.37,1/1/2020,731,N,VIIRS,n,1,276.46,0.7,N,0,35,1/1/2020 7:42,POINT (-84.591675 31.206028)
35,51.17137,65.15408,303.22,0.71,0.75,1/1/2020,731,N,VIIRS,n,1,265.64,0.81,N,0,36,1/1/2020 7:42,POINT (-101.670731 32.440529)
36,59.57841,45.40542,295.71,0.39,0.36,1/1/2020,731,N,VIIRS,n,1,271.25,1.31,N,0,37,1/1/2020 7:42,POINT (-86.452202 33.618275)
37,31.52747,1.86611,300.1,0.56,0.52,1/1/2020,731,N,VIIRS,n,1,268.8,1.02,N,0,38,1/1/2020 7:42,POINT (-94.772797 32.703674)
38,-2.07613,10.9913,297.38,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,275.38,0.45,N,0,39,1/1/2020 7:42,POINT (-84.191948 31.365404)
39,43.51014,-0.51627,321.98,0.39,0.36,1/1/2020,731,N,VIIRS,n,1,271.55,1.31,N,0,40,1/1/2020 7:42,POINT (-86.45291899999999 33.614975)
40,47.70515,99.00344,309.63,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,276.14,1.56,N,0,41,1/1/2020 7:42,POINT (-84.316154 31.650427)
41,-50.70838,-70.30666,311.48,0.41,0.37,1/1/2020,731,N,VIIRS,n,1,276.18,1.26,N,0,42,1/1/2020 7:42,POINT (-84.31485000000001 31.650192)
42,61.19933,-148.32227,307.19,0.71,0.75,1/1/2020,731,N,VIIRS,n,1,271.51,1.87,N,0,43,1/1/2020 7:42,POINT (-101.714279 32.467613)
43,29.80672,67.35524,304.42,0.39,0.37,1/1/2020,731,N,VIIRS,n,1,275.42,0.9,N,0,44,1/1/2020 7:42,POINT (-85.123299 30.934923)
44,-23.10638,27.55721,296.37,0.42,0.38,1/1/2020,731,N,VIIRS,n,1,275.43,0.27,N,0,45,1/1/2020 7:42,POINT (-83.924385 31.261585)
45,56.28295,111.97685,297.84,0.5,0.41,1/1/2020,731,N,VIIRS,n,1,276.42,0.93,N,0,46,1/1/2020 7:42,POINT (-91.091148 30.591612)
46,54.28177,104.63291,306.38,0.38,0.36,1/1/2020,731,N,VIIRS,n,1,273.52,1.17,N,0,47,1/1/2020 7:42,POINT (-86.319427 32.106579)
47,31.835232,-83.053383,318.31,0.44,0.38,1/1/2020,731,N,VIIRS,n,1,276.78,2.46,N,0,48,1/1/2020 7:42,POINT (-83.053383 31.835232)
48,31.385183,-89.81498,327.1,0.45,0.39,1/1/2020,731,N,VIIRS,n,1,275.8,3.59,N,0,49,1/1/2020 7:42,POINT (-89.81498000000001 31.385183)
49,31.677877,-90.420029,302.89,0.48,0.4,1/1/2020,731,N,VIIRS,n,1,272.57,1.08,N,0,50,1/1/2020 7:42,POINT (-90.420029 31.677877)
50,7.20194,8.14452,300.9,0.48,0.4,1/1/2020,731,N,VIIRS,n,1,276.08,0.98,N,0,51,1/1/2020 7:42,POINT (-90.499931 30.642141)
51,-14.94895,-38.95421,312.81,0.38,0.36,1/1/2020,731,N,VIIRS,n,1,274.34,1.3,N,0,52,1/1/2020 7:42,POINT (-85.92306500000001 32.505756)
52,61.58567,-152.16876,304.04,0.49,0.4,1/1/2020,731,N,VIIRS,n,1,277.47,1.17,N,0,53,1/1/2020 7:42,POINT (-82.00981899999999 31.727451)
53,56.49442,58.58084,324.96,0.44,0.38,1/1/2020,731,N,VIIRS,n,1,276.7,2.46,N,0,54,1/1/2020 7:42,POINT (-83.054237 31.831732)
54,-5.15352,-51.1842,310.07,0.53,0.42,1/1/2020,731,N,VIIRS,n,1,272.98,1.83,N,0,55,1/1/2020 7:42,POINT (-91.42443100000001 30.835548)
55,40.09881,28.90514,296.81,0.43,0.38,1/1/2020,731,N,VIIRS,n,1,275.9,0.95,N,0,56,1/1/2020 7:42,POINT (-89.33009300000001 30.573074)
56,-10.63592,25.66789,313.12,0.38,0.36,1/1/2020,731,N,VIIRS,n,1,274.4,1.7,N,0,57,1/1/2020 7:42,POINT (-85.85303499999999 32.41655)
57,38.38513,39.55235,298.26,0.38,0.36,1/1/2020,731,N,VIIRS,n,1,273.91,1.07,N,0,58,1/1/2020 7:42,POINT (-85.848969 32.415905)
58,55.46824,-158.13351,296.19,0.49,0.4,1/1/2020,731,N,VIIRS,n,1,277.89,0.63,N,0,59,1/1/2020 7:42,POINT (-82.008865 31.731106)
59,10.1563,-6.58773,326.03,0.39,0.36,1/1/2020,731,N,VIIRS,n,1,271.76,2.6,N,0,60,1/1/2020 7:42,POINT (-86.578087 33.095531)
60,-12.28218,-75.20735,332.31,0.38,0.36,1/1/2020,731,N,VIIRS,n,1,276.89,4.92,N,0,61,1/1/2020 7:42,POINT (-86.196831 32.646751)
61,64.56679,141.76913,332.69,0.38,0.36,1/1/2020,731,N,VIIRS,n,1,273.81,3.39,N,0,62,1/1/2020 7:42,POINT (-86.197548 32.643459)
62,21.0859,33.61114,295.72,0.57,0.43,1/1/2020,732,N,VIIRS,n,1,282.01,0.8,N,0,63,1/1/2020 7:56,POINT (-82.013329 27.484877)
63,30.288603,-90.838821,295.57,0.49,0.4,1/1/2020,732,N,VIIRS,n,1,277.3,0.34,N,0,64,1/1/2020 7:56,POINT (-90.838821 30.288603)
64,-0.66719,-63.82607,299.87,0.5,0.41,1/1/2020,732,N,VIIRS,n,1,276.13,0.94,N,0,65,1/1/2020 7:56,POINT (-91.092438 30.592041)
65,25.96922,102.66312,298.68,0.49,0.4,1/1/2020,732,N,VIIRS,n,1,277.16,0.78,N,0,66,1/1/2020 7:56,POINT (-90.91918199999999 30.275759)
66,1.73441,-75.67809,319.34,0.43,0.38,1/1/2020,908,N,VIIRS,n,1,268.72,1.36,N,0,67,1/1/2020 8:38,POINT (-102.679611 47.710823)
67,48.420078,-118.035973,305.96,0.62,0.54,1/1/2020,908,N,VIIRS,n,1,273.84,2.8,N,0,68,1/1/2020 8:38,POINT (-118.035973 48.420078)
68,39.04457,77.47216,302.3,0.62,0.54,1/1/2020,908,N,VIIRS,n,1,273.95,2.15,N,0,69,1/1/2020 8:38,POINT (-118.034592 48.415527)
69,63.43289,166.15951,299.13,0.41,0.37,1/1/2020,908,N,VIIRS,n,1,270.03,0.65,N,0,70,1/1/2020 8:38,POINT (-103.283081 48.098743)
70,65.99593,-72.84114,335.28,0.6,0.71,1/1/2020,909,N,VIIRS,n,1,269.23,4.22,N,0,71,1/1/2020 8:38,POINT (-93.032585 38.99662)
71,38.994511,-93.025864,314.6,0.6,0.71,1/1/2020,909,N,VIIRS,n,1,267.14,4.22,N,0,72,1/1/2020 8:38,POINT (-93.025864 38.994511)
72,55.25872,-4.02739,301.68,0.34,0.56,1/1/2020,909,N,VIIRS,n,1,273.03,1.09,N,0,73,1/1/2020 8:38,POINT (-119.538216 44.56557100000001)
73,44.65704,-119.703262,314.2,0.35,0.57,1/1/2020,909,N,VIIRS,n,1,275.24,1.07,N,0,74,1/1/2020 8:38,POINT (-119.703262 44.65704)
74,41.24279,41.13682,303.75,0.42,0.61,1/1/2020,909,N,VIIRS,n,1,274,0.9,N,0,75,1/1/2020 8:38,POINT (-121.457031 44.246525)
75,-4.88447,-79.72235,325.63,0.41,0.37,1/1/2020,910,N,VIIRS,n,1,264.35,3.01,N,0,76,1/1/2020 9:10,POINT (-106.150764 41.081902)
76,37.296547,-92.459618,304.02,0.72,0.76,1/1/2020,910,N,VIIRS,n,1,266.58,1.34,N,0,77,1/1/2020 9:10,POINT (-92.45961800000001 37.296547)
77,37.926437,-95.409416,295.49,0.49,0.65,1/1/2020,910,N,VIIRS,n,1,270.06,0.94,N,0,78,1/1/2020 9:10,POINT (-95.40941600000001 37.926437)
78,40.1997,118.17201,297.43,0.42,0.38,1/1/2020,911,N,VIIRS,n,1,264.01,0.76,N,0,79,1/1/2020 9:11,POINT (-112.800362 37.248539)
79,7.59782,-76.79761,323.38,0.34,0.56,1/1/2020,911,N,VIIRS,n,1,267.36,1.37,N,0,80,1/1/2020 9:11,POINT (-120.731407 37.541431)
80,14.24374,38.46451,322.63,0.34,0.56,1/1/2020,911,N,VIIRS,n,1,266.91,1.75,N,0,81,1/1/2020 9:11,POINT (-120.732773 37.541504)
81,31.794052,-103.813667,297.49,0.49,0.49,1/1/2020,912,N,VIIRS,n,1,269.64,0.45,N,0,82,1/1/2020 9:18,POINT (-103.813667 31.794052)
82,31.347078,-103.659447,301.63,0.51,0.5,1/1/2020,912,N,VIIRS,n,1,270.58,0.95,N,0,83,1/1/2020 9:18,POINT (-103.659447 31.347078)
83,-0.89771,-52.58056,298.11,0.49,0.49,1/1/2020,912,N,VIIRS,n,1,270.05,0.36,N,0,84,1/1/2020 9:18,POINT (-103.845741 31.695379)
84,40.78682,129.10395,309.87,0.5,0.49,1/1/2020,912,N,VIIRS,n,1,271.92,1.39,N,0,85,1/1/2020 9:18,POINT (-103.661194 31.750452)
85,1.71947,36.96304,301.17,0.5,0.49,1/1/2020,912,N,VIIRS,n,1,271.69,1.37,N,0,86,1/1/2020 9:18,POINT (-103.661682 31.753529)
86,26.47948,80.81699,307.03,0.5,0.49,1/1/2020,912,N,VIIRS,n,1,271.06,1.37,N,0,87,1/1/2020 9:18,POINT (-103.66301 31.749096)
87,22.50574,46.55465,335.83,0.49,0.49,1/1/2020,912,N,VIIRS,n,1,271.47,4.33,N,0,88,1/1/2020 9:18,POINT (-103.812111 31.88011)
88,63.03953,108.25112,335.93,0.49,0.49,1/1/2020,912,N,VIIRS,n,1,270.65,2.48,N,0,89,1/1/2020 9:18,POINT (-103.808899 31.881809)
89,-23.29867,118.29806,299.57,0.49,0.49,1/1/2020,912,N,VIIRS,n,1,269.8,0.78,N,0,90,1/1/2020 9:18,POINT (-103.825409 31.761072)
90,9.98066,77.73949,295.74,0.51,0.49,1/1/2020,912,N,VIIRS,n,1,271.04,0.68,N,0,91,1/1/2020 9:18,POINT (-103.71582 31.301579)
91,26.18458,-102.8606,295.22,0.48,0.48,1/1/2020,912,N,VIIRS,n,1,269.3,0.5,N,0,92,1/1/2020 9:18,POINT (-103.997864 31.811886)
92,33.71109,109.18874,296.45,0.52,0.41,1/1/2020,912,N,VIIRS,n,1,275.92,0.81,N,0,93,1/1/2020 9:18,POINT (-116.125374 33.096775)
93,44.76585,54.87559,302.7,0.63,0.54,1/1/2020,912,N,VIIRS,n,1,270.17,1.09,N,0,94,1/1/2020 9:18,POINT (-101.795502 32.175404)
94,-0.49014,34.43584,302.16,0.61,0.54,1/1/2020,912,N,VIIRS,n,1,271.54,1.57,N,0,95,1/1/2020 9:18,POINT (-101.989456 32.200264)
95,-29.65241,-50.9944,303.12,0.51,0.49,1/1/2020,912,N,VIIRS,n,1,271.71,0.95,N,0,96,1/1/2020 9:18,POINT (-103.539093 31.938251)
96,-16.691,-45.22697,301.51,0.51,0.49,1/1/2020,912,N,VIIRS,n,1,271.74,2.24,N,0,97,1/1/2020 9:18,POINT (-103.540596 31.937456)
97,63.22584,31.13857,298.05,0.5,0.49,1/1/2020,912,N,VIIRS,n,1,270.86,0.62,N,0,98,1/1/2020 9:18,POINT (-103.583557 32.224674)
98,37.01728,33.78387,299.28,0.52,0.5,1/1/2020,912,N,VIIRS,n,1,269.35,1.25,N,0,99,1/1/2020 9:18,POINT (-103.299255 32.079742)
99,6.29735,-10.10458,308.67,0.52,0.5,1/1/2020,912,N,VIIRS,n,1,269.94,1.89,N,0,100,1/1/2020 9:18,POINT (-103.304695 32.080956)
100,-10.8294,23.0928,338.08,0.39,0.36,1/2/2020,1829,N,VIIRS,n,1,297.08,4.82,D,0,279,1/2/2020 18:29,POINT (-9083707.629441049 3046908.86194009)
101,45.4582,43.319,345.26,0.4,0.37,1/2/2020,1829,N,VIIRS,n,1,285.56,9.64,D,0,295,1/2/2020 18:29,POINT (-9140947.888967969 3072032.669136715)
102,49.1754,109.384,344.77,0.38,0.36,1/2/2020,1829,N,VIIRS,n,1,302.65,34.27,D,0,336,1/2/2020 18:29,POINT (-9004109.518105244 3085781.51680561)
103,57.4159,-107.6208,336.42,0.39,0.36,1/2/2020,1830,N,VIIRS,n,1,291.78,4.32,D,0,372,1/2/2020 18:30,POINT (-9176934.474715183 3504076.19200787)
104,59.4538,52.6226,327.63,0.39,0.36,1/2/2020,1832,N,VIIRS,n,1,268.78,2.36,D,0,376,1/2/2020 18:32,POINT (-9265941.198093344 4585186.373665186)
105,57.5042,-112.7529,328.22,0.52,0.5,1/2/2020,1833,N,VIIRS,n,1,279.19,4.13,D,0,377,1/2/2020 18:33,POINT (-10491007.6301742 4609937.149248163)
106,51.0022,89.4726,325.83,0.38,0.36,1/2/2020,1833,N,VIIRS,n,1,277.23,1.32,D,0,379,1/2/2020 18:33,POINT (-9461735.484475093 4663839.716482627)
107,43.8109,118.362,326.84,0.38,0.36,1/2/2020,1833,N,VIIRS,n,1,274.58,1.94,D,0,381,1/2/2020 18:33,POINT (-9511090.873149632 4734546.072171829)
108,49.7425,-119.1538,330.61,0.51,0.49,1/2/2020,2012,N,VIIRS,n,1,297.03,3.4,D,0,382,1/2/2020 20:12,POINT (-12870093.1670464 3638557.150014064)
109,46.7084,-86.741,342.79,0.39,0.36,1/2/2020,2013,N,VIIRS,n,1,272.7,5.17,D,0,385,1/2/2020 20:13,POINT (-12059393.50193517 4164113.497931199)
110,30.847,61.9806,329.11,0.44,0.62,1/2/2020,2014,N,VIIRS,n,1,286.18,5.51,D,0,386,1/2/2020 20:14,POINT (-13686351.45961091 4348365.845549029)
111,7.5302,40.4805,338.8,0.68,0.74,1/2/2020,2014,N,VIIRS,n,1,281.15,5.08,D,0,387,1/2/2020 20:14,POINT (-10338990.51278334 4590920.440635948)
112,43.9325,0.9591,332.69,0.41,0.6,1/2/2020,2014,N,VIIRS,n,1,286.44,3.04,D,0,388,1/2/2020 20:14,POINT (-13648695.19282128 4411076.456173022)
113,53.8084,41.8902,331.15,0.35,0.56,1/2/2020,2015,N,VIIRS,n,1,276.69,3.28,D,0,389,1/2/2020 20:15,POINT (-13697122.2882621 4784487.891923868)
114,30.479,61.3747,328.52,0.48,0.4,1/2/2020,2016,N,VIIRS,n,1,275,22.04,D,0,391,1/2/2020 20:16,POINT (-13086319.03276835 5274361.778942637)
115,41.3712,114.8113,343.84,0.45,0.39,1/2/2020,2016,N,VIIRS,n,1,277.83,18.66,D,0,401,1/2/2020 20:16,POINT (-12997920.44776839 5268101.170780424)
116,33.0036,-96.2634,347.81,0.41,0.61,1/2/2020,2155,N,VIIRS,n,1,282.11,5.41,D,0,404,1/2/2020 21:55,POINT (-13629883.08943315 4567073.356679232)
117,-37.3065,146.1872,348.25,0.41,0.61,1/2/2020,2155,N,VIIRS,n,1,285.65,4,D,0,406,1/2/2020 21:55,POINT (-13601150.4156645 4350585.89015392)
118,49.9606,-88.6259,325.26,0.49,0.65,1/2/2020,2155,N,VIIRS,n,1,280.11,3.01,D,0,408,1/2/2020 21:55,POINT (-13492986.9437547 4683969.842641757)
119,30.4322,-109.7955,301.67,0.49,0.4,1/3/2020,653,N,VIIRS,n,1,287.79,1.31,N,0,410,1/3/2020 6:53,POINT (-9001043.556689816 3576394.231284775)
120,58.7104,-102.2549,310.1,0.54,0.42,1/3/2020,653,N,VIIRS,n,1,282.7,1.84,N,0,411,1/3/2020 6:53,POINT (-9114271.397513758 3582145.330137629)
121,60.0767,46.1736,310.24,0.51,0.41,1/3/2020,830,N,VIIRS,n,1,267.59,1.2,N,0,417,1/3/2020 8:30,POINT (-11429875.10232976 5311107.118339098)
122,-8.6894,-49.3452,296.07,0.61,0.71,1/3/2020,833,N,VIIRS,n,1,281.83,0.56,N,0,419,1/3/2020 8:33,POINT (-9605782.794242097 3769396.958795901)
123,14.6377,-15.8056,302.81,0.53,0.42,1/3/2020,834,N,VIIRS,n,1,278.33,1.34,N,0,420,1/3/2020 8:34,POINT (-10810730.12079341 3488516.51018224)
124,49.6357,47.1656,295.29,0.38,0.44,1/3/2020,834,N,VIIRS,n,1,279.55,0.38,N,0,421,1/3/2020 8:34,POINT (-10760333.44960199 3422456.296080278)
125,0.9281,12.4494,298.82,0.47,0.64,1/3/2020,834,N,VIIRS,n,1,275.05,0.66,N,0,422,1/3/2020 8:34,POINT (-12715038.0294323 3752001.173289127)
126,6.5712,42.9672,299.78,0.52,0.42,1/3/2020,835,N,VIIRS,n,1,280.22,0.67,N,0,423,1/3/2020 8:35,POINT (-10932268.40688303 3189872.587783714)
127,31.6199,-83.2999,300.47,0.51,0.41,1/3/2020,835,N,VIIRS,n,1,274.03,1.14,N,0,424,1/3/2020 8:35,POINT (-10941677.79816183 3255595.726467554)
128,67.773,18.1962,299.58,0.57,0.43,1/3/2020,835,N,VIIRS,n,1,280.26,0.58,N,0,427,1/3/2020 8:35,POINT (-10828462.64775983 3270756.327918689)
129,-33.2638,-69.154,320.44,0.55,0.68,1/3/2020,1010,N,VIIRS,n,1,262.62,2.32,N,0,430,1/3/2020 10:10,POINT (-11519391.33501728 5328303.419318371)
130,40.184,33.3194,305.11,0.55,0.43,1/3/2020,1014,N,VIIRS,n,1,261.78,1.08,N,0,437,1/3/2020 10:14,POINT (-13347342.19929481 4176553.228388365)
131,48.4512,-115.54,336.93,0.55,0.43,1/3/2020,1810,N,VIIRS,n,1,294.92,4.73,D,0,445,1/3/2020 18:10,POINT (-9089812.390316151 3279177.424758219)
132,16.7132,2.354,334.34,0.53,0.42,1/3/2020,1810,N,VIIRS,n,1,300.63,14.79,D,0,456,1/3/2020 18:10,POINT (-8957880.426010141 3002277.204537871)
133,60.8292,69.7142,342.16,0.45,0.39,1/3/2020,1811,N,VIIRS,n,1,294.7,3.82,D,0,468,1/3/2020 18:11,POINT (-8991273.156302381 3642488.954428882)
134,28.1929,35.4774,329.89,0.39,0.36,1/3/2020,1812,N,VIIRS,n,1,288.98,5.29,D,0,470,1/3/2020 18:12,POINT (-8532309.574931163 3869124.305734908)
135,61.4699,-154.4301,330.22,0.67,0.74,1/3/2020,1813,N,VIIRS,n,1,279.95,4.4,D,0,471,1/3/2020 18:13,POINT (-10532226.67726666 3952713.777413105)
136,60.7355,9.6605,356.59,0.4,0.44,1/3/2020,1951,N,VIIRS,n,1,296.97,9.74,D,0,474,1/3/2020 19:51,POINT (-10668688.89956999 3266172.302607313)
137,14.5325,34.7296,336.45,0.54,0.42,1/3/2020,1951,N,VIIRS,n,1,294.53,4.94,D,0,477,1/3/2020 19:51,POINT (-10745576.93790243 3195002.189919468)
138,31.1491,-115.6631,333.91,0.44,0.39,1/3/2020,1951,N,VIIRS,n,1,294.01,7.77,D,0,479,1/3/2020 19:51,POINT (-10894594.21765539 2925491.357497977)
139,22.5439,87.7724,329.8,0.42,0.38,1/3/2020,1951,N,VIIRS,n,1,296.98,2.22,D,0,485,1/3/2020 19:51,POINT (-11049622.97255017 3224322.185321545)
140,7.3957,1.1869,326.1,0.46,0.39,1/3/2020,1952,N,VIIRS,n,1,289.89,3.12,D,0,488,1/3/2020 19:52,POINT (-11022281.45845797 3681677.422689783)
141,-35.0611,139.802,337.26,0.41,0.45,1/3/2020,1952,N,VIIRS,n,1,289.39,3.67,D,0,490,1/3/2020 19:52,POINT (-10727748.34221545 3620658.97964534)
142,-18.9694,47.9704,327.44,0.39,0.36,1/3/2020,1952,N,VIIRS,n,1,291.3,1.56,D,0,493,1/3/2020 19:52,POINT (-11299057.44612659 3519905.378320709)
143,-19.6018,136.1362,330.32,0.44,0.39,1/3/2020,1952,N,VIIRS,n,1,293.15,2.33,D,0,495,1/3/2020 19:52,POINT (-10991039.97732531 3334813.793061789)
144,18.7115,-103.1309,331.01,0.53,0.5,1/3/2020,1952,N,VIIRS,n,1,287.96,3.37,D,0,497,1/3/2020 19:52,POINT (-10494128.80605706 3608426.971357993)
145,61.4498,22.9783,344.3,0.39,0.36,1/3/2020,1952,N,VIIRS,n,1,298.12,7.64,D,0,499,1/3/2020 19:52,POINT (-11322403.81501372 3614013.206044982)
146,-17.2817,25.503,339.39,0.39,0.36,1/3/2020,1952,N,VIIRS,n,1,287.85,2.96,D,0,500,1/3/2020 19:52,POINT (-11498524.05119012 3491749.78479233)
147,54.4244,40.7128,328.46,0.5,0.49,1/3/2020,1952,N,VIIRS,n,1,289.48,3.48,D,0,501,1/3/2020 19:52,POINT (-10514660.57293897 3467342.429838451)
148,-4.052,121.9484,335.71,0.48,0.4,1/3/2020,1953,N,VIIRS,n,1,290.81,6.58,D,0,503,1/3/2020 19:53,POINT (-11879609.40735829 3586335.729729559)
149,39.6325,-1.7531,346.36,0.52,0.41,1/3/2020,1953,N,VIIRS,n,1,290.94,12.18,D,0,505,1/3/2020 19:53,POINT (-10942292.72702897 3868972.688588448)
150,66.074,25.181,337.75,0.45,0.39,1/3/2020,1953,N,VIIRS,n,1,290.62,4.22,D,0,519,1/3/2020 19:53,POINT (-11117006.44143919 3855344.845206045)
151,36.8556,63.862,348.82,0.36,0.57,1/3/2020,1954,N,VIIRS,n,1,280.11,4.74,D,0,520,1/3/2020 19:54,POINT (-10375107.00837631 4428647.235919324)
152,34.8607,2.8051,329.13,0.39,0.36,1/3/2020,1954,N,VIIRS,n,1,274.23,3.11,D,0,522,1/3/2020 19:54,POINT (-11718010.4647974 4353727.437503598)
153,66.5435,-156.6439,325.91,0.44,0.46,1/3/2020,1954,N,VIIRS,n,1,282.96,3.77,D,0,523,1/3/2020 19:54,POINT (-10793954.71880882 4217772.275480827)
